Part Name,Color,Quantity,Part ID,Color Code
"Plate  1 x  8","Black",2,3460.dat,0
"Slope Brick 45  1 x  1 Double","Tan",1,35464.dat,19
"Plate  1 x  2 with Round Ends and 2 Open Studs","Tan",1,35480.dat,19
"Plate  1 x  2 with Round Ends and 2 Open Studs","Reddish Brown",10,35480.dat,70
"Minifig Hair with Ponytail and Dark Blue Baseball Cap Pattern","Dark Orange",1,35660p02.dat,484
"Brick  1 x  3","Reddish Brown",6,3622.dat,70
"Brick  1 x  3","Medium Nougat",3,3622.dat,84
"Plate  1 x  3","Black",3,3623.dat,0
"Plate  1 x  3","Tan",4,3623.dat,19
"Plate  1 x  3","Reddish Brown",25,3623.dat,70
"Plate  1 x  3","Dark Blue",14,3623.dat,272
"Minifig Head with Standard Grin Pattern (Hollow Stud)","Yellow",4,3626cp01.dat,14
"Arch  1 x  4","Reddish Brown",4,3659.dat,70
"Plate  1 x  6","Reddish Brown",11,3666.dat,70
"Plate  1 x  6","Dark Green",4,3666.dat,288
"Plate  1 x  6","Dark Brown",6,3666.dat,308
"Minifig Tool Wand","Reddish Brown",3,36752a.dat,70
"Turntable  2 x  2 Plate Top","Light Bluish Grey",1,3679.dat,71
"Turntable  2 x  2 Plate Base","Black",1,3680.dat,0
"Bracket  1 x  1 -  1 x  1 Up","Reddish Brown",2,36840.dat,70
