Part Name,Color,Quantity,Part ID,Color Code
"Plate  1 x  1 Round with Open Stud","White",2,85861.dat,15
"Plate  1 x  1 Round with Open Stud","Lime",11,85861.dat,27
"Plate  1 x  1 Round with Open Stud","Reddish Brown",17,85861.dat,70
"Tile  2 x  4","Tan",1,87079.dat,19
"Tile  2 x  4","Reddish Brown",1,87079.dat,70
"Brick  4 x  4 Round with Pinhole and Snapstud","Black",1,87081.dat,0
"Brick  1 x  1 with Stud on 1 Side","Black",1,87087.dat,0
"Brick  1 x  1 with Stud on 1 Side","Reddish Brown",5,87087.dat,70
"Brick  1 x  1 with Stud on 1 Side","Dark Orange",10,87087.dat,484
"Plate  2 x  2 with Groove with 1 Centre Stud","Dark Red",2,87580.dat,320
"Minifig Tool Oar Reinforced","Reddish Brown",2,87585.dat,70
"Bar  4.5L with Handle","Reddish Brown",5,87618.dat,70
"Minifig Plume Small","White",1,87693.dat,15
"Plate  1 x  4 with Two Studs","Reddish Brown",2,92593.dat,70
"Bar  1L with Top Stud and Two Side Studs","Reddish Brown",1,92690.dat,70
"Tile  1 x  1 Round with Metallic Gold Speaker Grille Pattern","Black",1,98138p88.dat,0
"Tile  1 x  1 Round with Dark Blue Compass Pattern","Pearl Gold",1,98138pc2.dat,297
"Brick  1 x  2 with Embossed Bricks","Medium Nougat",6,98283.dat,84
"Minifig Pot Small with Handle Holders","Pearl Black",1,98374.dat,83
"Minifig Hair Spiked","Medium Nougat",1,98385.dat,84
"Bracket  1 x  2 -  2 x  2 Up","Black",1,99207.dat,0
"Bracket  1 x  2 -  1 x  2 Up","Reddish Brown",5,99780.dat,70
"Minifig Hair Tousled with Side Parting","Dark Orange",1,87991.dat,484
"Bar  3L","Black",3,87994.dat,0
"Bar  3L","Reddish Brown",1,87994.dat,70
"Plate  1 x  2 with Vertical Bar on Long Side and Short Arm","Black",3,88072.dat,0
"Brick  2 x  2 with Slots and Axlehole","Dark Bluish Grey",1,90258.dat,72
"Plate  2 x 14","Reddish Brown",7,91988.dat,70
"Plate  1 x  2 with Single Clip on Top","Light Bluish Grey",13,92280.dat,71
"Tile  2 x  2 Corner without Corner","Black",4,27263.dat,0
"Technic Axle Towball","Light Bluish Grey",1,2736.dat,71
"Tile  4 x  4 Corner Round","Reddish Brown",2,27507.dat,70
"Technic Pin with Friction and Slots","Black",14,2780.dat,0
